"Primary Street","Dir","Cross Street","Type","Dist","Count Date","Day","W/B","E/B","N/B","S/B","Total"
"1 st ST","AT","MC CADDEN PL","AUT","TUE","February 05, 2013","TUE","364","763","0","0","1,127"
"1 st ST","AT","ALAMEDA ST","AUTO","CR","January 16, 2014","THU","6,433","11,669","0","0","18,102"
"1 st ST","AT","MAIN ST","MIO","CR","March 27, 2013","WED","9,221","9,811","0","0","19,032"
"1 st ST","AT","SPRING ST","MIO","CR","March 19, 2013","TUE","9,365","9,884","0","0","19,249"
"1 st ST","AT","MAIN ST","MAN","CR","November 08, 2011","TUE","11,400","12,497",,,"23,897"
"10 th AV","AT","48 th ST","AUTO","SR","January 29, 2014","WED","0","0","285","358","643"
"10 th ST","AT","ALMA  ST","AUTO","SR","June 17, 2013","MON","428","294","0","0","722"
"102 nd ST","AT","BROADWAY","MAN","SR","November 09, 2011","WED","444","268",,,"712"
"102 nd ST","AT","BROADWAY","AUTO","SR","December 09, 2013","MON","579","326","0","0","905"
"103 rd ST","AT","PALOMA ST","AUTO","SR","January 24, 2011","MON","3,325","2,817",,,"6,142"
"103 rd ST","AT","CLOVIS ST","AUTO","SR","January 24, 2011","MON","3,716","3,496",,,"7,212"
"103 rd ST","AT","WEIGARD AV","AUTO","SR","January 25, 2011","TUE","5,887","3,805",,,"9,692"
"103 rd ST","AT","LOU DILLON AV","AUTO","SR","January 25, 2011","TUE","6,457","4,454",,,"10,911"
"103 rd ST","AT","COMPTON AV","AUT","THU","January 31, 2013","THU","6,165","6,298","0","0","12,463"
"103 rd ST","AT","BEACH ST","AUTO","SR","January 25, 2011","TUE","7,133","5,360",,,"12,493"
"103 rd ST","AT","SUCCESS AV","MAN","SR","January 10, 2013","THU","5,786","7,008","0","0","12,794"
"103 rd ST","AT","FIRTH BL","AUTO","SR","October 17, 2013","THU","6,562","6,400","0","0","12,962"
"103 rd ST","AT","SUCCESS ST","AUTO","SR","January 25, 2011","TUE","6,557","9,215",,,"15,772"
"103rd ST","AT","FIRTH BL","MAN","SR","May 19, 2014","MON","3,682","3,614","0","0","7,396"
"104 th ST","AT","CENTRAL AV","MAN","SR","February 01, 2013","FRI","0","533","0","0","533"
"104 th ST","AT","DENVER AV","AUTO","SR","October 29, 2013","TUE","283","281","0","0","564"
"104 th ST","AT","CENTRAL AV","MAN","WED","January 30, 2013","WED","378","244","0","0","622"
"104 th ST","AT","WESTERN AV","MAN","SR","June 12, 2013","WED","421","1,711","0","0","2,132"
"104 th ST","AT","WESTERN AV","MAN","SR","June 12, 2013","WED","421","1,711","0","0","2,132"
"104 th ST","AT","WESTERN AV","AUT","SR","May 01, 2013","WED","508","2,163","0","0","2,671"
"104 th ST","E/O","AVIATION BL","AUTO","WR","September 27, 2011","TUES","1,564","2,044",,,"3,608"
"104 th ST","E/O","AVIATION BL","AUTO","WR","September 27, 2011","TUES","1,564","2,044",,,"3,608"
"105 th ST","AT","COMPTON AV","AUTO","SR","June 11, 2013","TUE","314","294","0","0","608"
"105 th ST","AT","COMPTON AV","AUTO","SR","June 11, 2013","TUE","314","294","0","0","608"
"105 th ST","AT","CENTRAL AV","MAN","SR","January 30, 2013","WED","378","244","0","0","622"
"105 th ST","AT","CENTRAL AV","MAN","SR","March 31, 2011","THU","193","808",,,"1,001"
"105 th ST ","AT","CENTRAL AV","AUTO","SR","June 10, 2011","FRI","884","3,079",,,"3,963"
"11 th ST","AT","ALMA ST","AUTO","SR","June 12, 2013","WED","412","250","0","0","662"
"11 th ST","AT","OXFORD AV","MAN","HW","January 14, 2014","TUE","1,673","1,008","0","0","2,681"
"11 th ST","AT","OXFORD AV","AUTO ","HW","November 25, 2013","MON","2,414","1,357","0","0","3,771"
"11 th ST","AT","OXFORD AV","AUTO","HW","February 22, 2014","SAT","2,152","1,695","0","0","3,847"
"111 th ST","AT","FIGUEROA ST","MAN","SR","January 04, 2011","TUE","38",,,,"38"
"112th ST","AT","WILMINGTON AV","AUTO","SR","May 12, 2014","MON","909","777","0","0","1,686"
"114 th ST","W/O ","CENTRAL AV   ","AUTO","SR","September 27, 2011","TUE","403","558",,,"961"
"114 thST","AT","CENTRAL AV","MAN","CR","January 07, 2013","MON","240","263","0","0","503"
"118 th ST","AT","CENTRAL AV","AUTO","SR","October 23, 2013","WED","1,104","776","0","0","1,880"
"118 th ST","AT","FIGUEROA ST","AUTO","CR","June 14, 2011","TUE","3,334","2,622",,,"5,956"
"11th AV","AT","71st ST","AUTO","SR","May 19, 2014","MON","0","0","1,156","714","1,870"
"12 th ST","AT","CLOVERDALE AV","MAN","HW","June 13, 2013","THU","263","357","0","0","620"
"12 th ST","AT","ALMA ST","AUTO","SR","June 17, 2013","MON","453","268","0","0","721"
"12 th ST","AT","LONGWOOD AV","MAN","CR","April 19, 2011","TUE","442","374",,,"816"
"13 th ST","AT","PACIFIC AV","MAN","SR","October 25, 2012","THU","1,347","2,470","0","0","3,817"
"130 th ST","AT","FIGUEROA ST","MAN","SR","July 09, 2013","TUE","378","505","0","0","883"
"134 FWY OFF RAMP","AT","COLORADO BL","AUTO","CR","July 10, 2013","WED","6,305","0","0","0","6,305"
"14 th ST","AT","UNION AV","MAN","CR","January 07, 2013","MON","240","263","0","0","503"
"14 th ST","AT","PALOS VERDES ST","AUTO","SR","June 09, 2011","THU","494","267",,,"761"
"14 th ST","AT","UNION ST","AUTO","CR","November 02, 2011","WED",,,"468","1,106","1,574"
"15 th ST","E/O","LE GRANDE TER","AUTO","SR","June 13, 2013","THU","71","76","0","0","147"
"157 th ST","AT","VERMONT AV","AUTO","SR","April 09, 2014","WED","1,277","1,792","0","0","3,069"
"168 th ST","AT","FIGUEROA ST","MAN","SR","June 18, 2013","TUE","714","1,191","0","0","1,905"
"168 th ST","AT","FIGUEROA ST","AUT","SR","April 04, 2013","THU","826","1,774","0","0","2,600"
"17 th ST","AT","WEST BL","MAN","HW","October 03, 2013","THU","0","259","0","0","259"
"17 th ST","AT","4 th AV","AUTO","HW","September 10, 2013","TUE","821","335","0","0","1,156"
"17 th ST","AT","4 th AV","MAN","HW","September 26, 2013","THU","827","383","0","0","1,210"
"17 th ST","AT","3 rd AV","AUTO","HW","March 04, 2014","TUE","954","432","0","0","1,386"
"17 th ST","AT","PACIFIC AV","MAN","SR","November 01, 2012","THU","1,276","1,755","0","0","3,031"
"17th ST","AT","RIMPAU BL","AUTO","HW","May 20, 2014","TUE","688","402","0","0","1,090"
"18 th ST","E/O","CIMARRON ST","AUTO","HW","April 10, 2014","THU","286","185","0","0","471"
"186 th ST","AT","CATALINA AV","AUTO","SR","October 09, 2013","WED","808","1,064","0","0","1,872"
"186 th ST","E/O","WESTERN AV","AUTO","SR","October 08, 2013","TUE","1,371","527","0","0","1,898"
"186 th ST","W/O","VERMONT AV","AUTO","SR","October 09, 2013","WED","997","1,122","0","0","2,119"
"186 th ST","AT","WESTERN AV","MAN","SR","April 24, 2013","WED","1,920","613","0","0","2,533"
"186 th ST","AT","NORMANDIE AV","AUTO","SR","October 08, 2013","TUE","1,643","1,495","0","0","3,138"
"186 th ST","AT","RAYMOND AV","AUTO","CR","January 05, 2011","WED","2,351","865",,,"3,216"
"186 th ST","AT","CATALINA AV","AUTO","CR","January 05, 2011","WED","1,446","2,498",,,"3,944"
"186 th ST","AT","DALTON AV","AUTO ","SR","October 08, 2013","TUE","1,068","3,437","0","0","4,505"
"186 th ST","AT","WESTERN AV","AUTO","CR","August 30, 2011","TUE","4,431","3,578",,,"8,009"
"1st ST","AT","ALAMEDA ST   ( early shift )","MAN","CR","March 27, 2014","THU","6,799","5,619","0","0","12,418"
"1st ST","AT","ALAMEDA ST   ( late shift )","MAN","CR","March 09, 2014","WED","4,912","9,889","0","0","14,801"
"1st ST ","BTWN","BROADWAY AND SPRING ST","AUTO","CR","April 24, 2014","THU","11,614","11,514","0","0","23,128"
"2 nd PL  overcross","E/O","FLOWER ST     ","AUTO","CR","August 30, 2011","TUE","2,815","3,729",,,"6,544"
"2 nd ST","AT","BEACON ST","AUTO","SR","February 12, 2014","WED","185","229","0","0","414"
"2 nd ST","AT","OXFORD AV","AUTO","HW","November 07, 2013","THU","2,239","3,831","0","0","6,070"
"2 nd ST","AT","ALAMEDA ST","AUTO","CR","March 11, 2014","TUE","3,336","5,978","0","0","9,314"
"2 nd ST","AT","CENTRAL AV","AUTO","CR","March 11, 2014","TUE","4,386","6,401","0","0","10,787"
"2 nd ST ","AT","MEYLER ST","AUT","SR","April 16, 2013","TUE","878","649","0","0","1,527"
"2 nd ST ","AT","HIGHLAND AV","MAN","HW","April 04, 2013","THU","503","1,032","0","0","6,035"
"20 th ST","AT","HOOPER AV","AUTO","CR","August 30, 2011","TUE",,,"5,013","2,818","7,831"
"21 st ST","AT","PACIFICA AV","MAN","SR","March 25, 2014","TUE","529","244","0","0","773"
"21 st ST","AT","GAFFEY ST","AUTO","SR","June 08, 2011","WED","339","689",,,"1,028"
"21 st ST","AT","3 rd AV","AUTO","SR","November 21, 2011","MON","659","404",,,"1,063"
"214 th ST","AT","DENKER AV","AUTO","SR","April 08, 2014","TUE","300","458","0","0","758"
"218 th ST","AT","HALLDALE AV","AUT","SR","April 03, 2013","WED","360","478","0","0","838"
"218 th ST","AT","DENKER ST","AUT","SR","April 03, 2013","WED","525","578","0","0","1,103"
"22 nd ST","AT","UNION AV","MAN","SR","January 17, 2013","THU","456","294","0","0","750"
"23 rd ST","AT","UNION AV","AUTO","SR","June 09, 2011","THU","824","1,519",,,"2,343"
"23 rd ST","AT","GRAND AV","AUTO","SR","January 06, 2011","THU","3,853","7,871",,,"11,724"
"23 rd ST","AT","MAIN ST","AUTO","SR","September 29, 2011","THU","3,594","9,204",,,"12,798"
"23 rd ST","AT","OAK ST","AUTO","SR","November 07, 2011","MON","7,255","7,699",,,"14,954"
"23 rd ST","AT","ESTRELLA ST","AUTO","SR","September 29, 2011","THU","10,750","10,408",,,"21,158"
"24 th ST","AT","WALKER AV","AUTO","SR","October 26, 2011","WED","218","458",,,"676"
"24 th ST","AT","NORMANDIE AV","MAN","SR","January 17, 2013","THU","456","294","0","0","750"
"24 th ST","AT","ARLINGTON AV","MAN","HW","October 09, 2013","WED","432","407","0","0","839"
"24 th ST","AT","WESTERN AV","MAN","HW","February 06, 2014","THU","0","971","0","0","971"
"24 th ST","AT","ARLINGTON AV","AUTO","HW","August 29, 2013","THU","707","742","0","0","1,449"
"24 th ST","W/O","WESTERN AV","AUTO","CR","February 03, 2014","MON","1,629","1,137","0","0","2,766"
"24 th ST","AT","CABRILLO AV","MAN","CR","May 23, 2011","MON","13,322","17,296",,,"30,618"
"24 th ST","AT","NORMANDIE AV","AUTO","HW","June 16, 2011","THU","20,589","12,272",,,"32,861"
"240 th ST","AT","WESTERN AV","AUTO","SR","November 12, 2013","TUE","1,812","2,087","0","0","3,899"
"24th ST","AT","WALKER AV","AUTO","SR","May 21, 2014","WED","638","486","0","0","1,124"
"25 th ST","AT","GRIFFITH AV","MAN","CR","May 14, 2013","TUE","357","385","0","0","742"
"25 th ST","E/O","WESTERN AV","AUTO","SR","October 26, 2011","WED",,,"471","353","824"
"25 th ST","AT","WHITES POINT DR","AUTO","SR","July 11, 2011","MON","681","697",,,"1,378"
"25 th ST","AT","WHITE POINTS DR / MALL DRIVEWAY","MAN","SR","October 29, 2013","TUE","8,507","7,922","0","0","16,429"
"25 th ST","W/O","GAFFEY ST","MAN","CR","June 22, 2011","WED","15,176","10,949",,,"25,888"
"253 rd ST","AT","FRAMPTON AV","AUTO","SR","July 11, 2011","MON","424","432",,,"856"
"257 th ST","AT","NORMANDIE AV","AUTO","SR","January 08, 2014","WED","293","1,824","0","0","2,117"
"26 th ST","AT","PATTON AV","AUTO","SR","January 14, 2014","TUE","551","564","0","0","1,115"
"26th ST","AT","LELAND AV","AUTO ","SR","May 15, 2014","THU","442","39","0","0","481"
"27 th ST","AT","BARBARA ST","AUT","SR","April 07, 2013","SUN","432","289","0","0","721"
"27 th ST","AT","BARBARA ST","AUT","SR","April 06, 2013","SAT","553","337","0","0","890"
"27 th ST","AT","PATTON AV","AUT","SR","January 14, 2014","TUE","369","538","0","0","907"
"27 th ST","AT","BARBARA ST","AUT","SR","April 05, 2013","FRI","615","445","0","0","1,060"
"27th ST","AT","LELAND AV","AUTO","SR","May 15, 2014","THU","944","787","0","0","1,731"
"2nd ST","BTWN","HILL ST AND BROADWAY","AUTO","CR","May 01, 2014","THU","6,177","8,084","0","0","14,261"
"2nd ST ","BTWN","BROADWAY AND SPRING ST","AUTO","CR","May 01, 2014","THU","5,814","8,335","0","0","14,149"
