ObjectID,Category1,Category2,Category3,Name,Label,Address Line 1,Address Line 2,City,State,ZIP Code,Organization,Source,Source ID,Source Date,Latitude,Longitude,Enrollment,Label Class,Last Update,x,y
3226,Education,Elementary Schools,Charter Schools,Jardin de la Infancia,Jardin de la Infancia,"1400 S Broadway Los Angeles, CA 90015",,Los Angeles,CA,90015-2209,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=61a4260e68b14a5ab91daf27d4415e7d (enrollment and improved location accuracy)",19101990106880,10/24/2023,34.03533485,-118.26242419,18,Charter Schools,3/10/2025 12:00:00 AM,6482162.89710222,1835343.21672922
3227,Education,Elementary Schools,Charter Schools,Aspire Antonio Maria Lugo Academy,Aspire Antonio Maria Lugo Academy,6100 Carmelita Avenue,,Huntington Park,CA,90255-4138,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=61a4260e68b14a5ab91daf27d4415e7d (enrollment and improved location accuracy)",19101990109660,1/8/2024,33.98429585,-118.19685717,393,Charter Schools,3/10/2025 12:00:00 AM,6501991.53001705,1816723.74150106
3228,Education,Elementary-High Combination Schools,Charter Schools,Aspire Ollin University Preparatory Academy,Aspire Ollin University Preparatory Academy,2540 East 58th Street,,Huntington Park,CA,90255-2659,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=61a4260e68b14a5ab91daf27d4415e7d (enrollment and improved location accuracy)",19101990112128,10/30/2024,33.99001885,-118.22636218,557,Charter Schools,3/10/2025 12:00:00 AM,6493051.55577105,1818825.28487015
3229,Education,Elementary-High Combination Schools,Charter Schools,Magnolia Science Academy 3,Magnolia Science Academy 3,1254 East Helmick Street,,Carson,CA,90746-3164,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=61a4260e68b14a5ab91daf27d4415e7d (enrollment and improved location accuracy)",19101990115030,8/8/2024,33.84912483,-118.25101217,389,Charter Schools,3/10/2025 12:00:00 AM,6485451.20154922,1767568.63803981
3230,Education,Elementary-High Combination Schools,Charter Schools,Magnolia Science Academy 2,Magnolia Science Academy 2,17125 Victory Boulevard,,Van Nuys,CA,91406-5455,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=61a4260e68b14a5ab91daf27d4415e7d (enrollment and improved location accuracy)",19101990115212,8/8/2024,34.18710686,-118.50695324,532,Charter Schools,3/10/2025 12:00:00 AM,6408356.22942714,1890858.71823081
3231,Education,Intermediate/Middle/Junior High Schools,Charter Schools,Environmental Charter Middle - Gardena,Environmental Charter Middle - Gardena,812 West 165th Place,,Gardena,CA,90247-5105,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=61a4260e68b14a5ab91daf27d4415e7d (enrollment and improved location accuracy)",19101990121772,10/14/2024,33.88046083,-118.28990018,360,Charter Schools,3/10/2025 12:00:00 AM,6473675.88520488,1779004.30512907
3232,Education,High Schools,Public Schools,"Nidorf SYTF, Barry J.","Nidorf SYTF, Barry J.",16350 Filbert Street,,Sylmar,CA,91342,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=61a4260e68b14a5ab91daf27d4415e7d (enrollment and improved location accuracy)",19101990121822,8/19/2024,34.31611687,-118.48362925,17,Public Schools,3/10/2025 12:00:00 AM,6415635.76408064,1937772.51318257
3233,Education,High Schools,Public Schools,Los Padrinos Juvenile Hall,Los Padrinos Juvenile Hall,7285 East Quill Drive,,Downey,CA,90242,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=61a4260e68b14a5ab91daf27d4415e7d (enrollment and improved location accuracy)",19101990121871,8/1/2024,33.93447699,-118.16337299,249,Public Schools,3/10/2025 12:00:00 AM,6512113.04914406,1798575.41920197
3234,Education,High Schools,Public Schools,Central Juvenile Hall,Central Juvenile Hall,1605 Eastlake Avenue,,Los Angeles,CA,90033,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=61a4260e68b14a5ab91daf27d4415e7d (enrollment and improved location accuracy)",19101990121897,5/10/2023,34.063497,-118.20587,,Public Schools,3/10/2025 12:00:00 AM,6499318.25353947,1845552.03817506
3235,Education,High Schools,Public Schools,"Kirby, Dorothy Camp","Kirby, Dorothy Camp",1500 South McDonnell Avenue,,City Of Commerce,CA,90040,Los Angeles County Office of Education,"California Department of Education (CDE): https://www.cde.ca.gov/schooldirectory/ (school listing), and https://lacounty.maps.arcgis.com/home/item.html?id=61a4260e68b14a5ab91daf27d4415e7d (enrollment and improved location accuracy)",19101990121905,8/1/2024,34.01150886,-118.16954217,51,Public Schools,3/10/2025 12:00:00 AM,6510288.98455071,1826612.00945415
